date,contract,close
2026-01-05,LH2601,11490.00
2026-01-05,LH2603,11660.00
2026-01-05,LH2605,12110.00
2026-01-05,LH2607,12800.00
2026-01-05,LH2609,13710.00
2026-01-05,LH2611,13770.00
2026-01-06,LH2601,11525.00
2026-01-06,LH2603,11810.00
2026-01-06,LH2605,12255.00
2026-01-06,LH2607,12940.00
2026-01-06,LH2609,13890.00
2026-01-06,LH2611,13890.00
2026-01-07,LH2601,11830.00
2026-01-07,LH2603,11785.00
2026-01-07,LH2605,12260.00
2026-01-07,LH2607,12940.00
2026-01-07,LH2609,13885.00
2026-01-07,LH2611,13875.00
2026-01-08,LH2601,11880.00
2026-01-08,LH2603,11720.00
2026-01-08,LH2605,12200.00
2026-01-08,LH2607,12860.00
2026-01-08,LH2609,13770.00
2026-01-08,LH2611,13785.00
2026-01-09,LH2601,11950.00
2026-01-09,LH2603,11770.00
2026-01-09,LH2605,12215.00
2026-01-09,LH2607,12895.00
2026-01-09,LH2609,13815.00
2026-01-09,LH2611,13745.00
2026-01-12,LH2601,12110.00
2026-01-12,LH2603,11735.00
2026-01-12,LH2605,12165.00
2026-01-12,LH2607,12825.00
2026-01-12,LH2609,13730.00
2026-01-12,LH2611,13705.00
2026-01-13,LH2601,12160.00
2026-01-13,LH2603,11795.00
2026-01-13,LH2605,12170.00
2026-01-13,LH2607,12830.00
2026-01-13,LH2609,13750.00
2026-01-13,LH2611,13660.00
2026-01-14,LH2601,12180.00
2026-01-14,LH2603,12010.00
2026-01-14,LH2605,12260.00
2026-01-14,LH2607,12885.00
2026-01-14,LH2609,13825.00
2026-01-14,LH2611,13760.00
2026-01-15,LH2601,12100.00
2026-01-15,LH2603,11950.00
2026-01-15,LH2605,12210.00
2026-01-15,LH2607,12830.00
2026-01-15,LH2609,13745.00
2026-01-15,LH2611,13715.00
2026-01-16,LH2601,12100.00
2026-01-16,LH2603,11980.00
2026-01-16,LH2605,12155.00
2026-01-16,LH2607,12760.00
2026-01-16,LH2609,13660.00
2026-01-16,LH2611,13655.00
2026-01-19,LH2601,12140.00
2026-01-19,LH2603,11705.00
2026-01-19,LH2605,11945.00
2026-01-19,LH2607,12605.00
2026-01-19,LH2609,13430.00
2026-01-19,LH2611,13445.00
2026-01-20,LH2601,12030.00
2026-01-20,LH2603,11550.00
2026-01-20,LH2605,11895.00
2026-01-20,LH2607,12555.00
2026-01-20,LH2609,13450.00
2026-01-20,LH2611,13415.00
2026-01-21,LH2601,11900.00
2026-01-21,LH2603,11470.00
2026-01-21,LH2605,11820.00
2026-01-21,LH2607,12450.00
2026-01-21,LH2609,13375.00
2026-01-21,LH2611,13390.00
2026-01-22,LH2601,11900.00
2026-01-22,LH2603,11600.00
2026-01-22,LH2605,11895.00
2026-01-22,LH2607,12555.00
2026-01-22,LH2609,13460.00
2026-01-22,LH2611,13430.00
2026-01-23,LH2601,12000.00
2026-01-23,LH2603,11565.00
2026-01-23,LH2605,11850.00
2026-01-23,LH2607,12470.00
2026-01-23,LH2609,13390.00
2026-01-23,LH2611,13360.00
2026-01-26,LH2601,11810.00
2026-01-26,LH2603,11465.00
2026-01-26,LH2605,11760.00
2026-01-26,LH2607,12425.00
2026-01-26,LH2609,13365.00
2026-01-26,LH2611,13335.00
2026-01-27,LH2601,12690.00
2026-01-27,LH2603,11285.00
2026-01-27,LH2605,11695.00
2026-01-27,LH2607,12375.00
2026-01-27,LH2609,13320.00
2026-01-27,LH2611,13305.00
2026-01-28,LH2603,11270.00
2026-01-28,LH2605,11695.00
2026-01-28,LH2607,12370.00
2026-01-28,LH2609,13280.00
2026-01-28,LH2611,13285.00
2026-01-28,LH2701,13300.00
2026-01-29,LH2603,11165.00
2026-01-29,LH2605,11640.00
2026-01-29,LH2607,12305.00
2026-01-29,LH2609,13235.00
2026-01-29,LH2611,13220.00
2026-01-29,LH2701,13345.00
2026-01-30,LH2603,11220.00
2026-01-30,LH2605,11650.00
2026-01-30,LH2607,12345.00
2026-01-30,LH2609,13305.00
2026-01-30,LH2611,13235.00
2026-01-30,LH2701,13370.00
2026-02-02,LH2603,11220.00
2026-02-02,LH2605,11635.00
2026-02-02,LH2607,12230.00
2026-02-02,LH2609,13170.00
2026-02-02,LH2611,13090.00
2026-02-02,LH2701,13350.00
2026-02-03,LH2603,11160.00
2026-02-03,LH2605,11600.00
2026-02-03,LH2607,12170.00
2026-02-03,LH2609,13055.00
2026-02-03,LH2611,12960.00
2026-02-03,LH2701,13255.00
2026-02-04,LH2603,11150.00
2026-02-04,LH2605,11735.00
2026-02-04,LH2607,12295.00
2026-02-04,LH2609,13210.00
2026-02-04,LH2611,13130.00
2026-02-04,LH2701,13355.00
2026-02-05,LH2603,10995.00
2026-02-05,LH2605,11685.00
2026-02-05,LH2607,12245.00
2026-02-05,LH2609,13135.00
2026-02-05,LH2611,13030.00
2026-02-05,LH2701,13325.00
2026-02-06,LH2603,10860.00
2026-02-06,LH2605,11625.00
2026-02-06,LH2607,12195.00
2026-02-06,LH2609,13100.00
2026-02-06,LH2611,13025.00
2026-02-06,LH2701,13200.00
2026-02-09,LH2603,10645.00
2026-02-09,LH2605,11565.00
2026-02-09,LH2607,12130.00
2026-02-09,LH2609,13095.00
